id,cable_id,description,name,color,cost (millions),Lit,Max,coordinates,length,rfs,year,owners,url
atlas-offshore,1512,"[{""landing_point_id"":5910,""latlon"":""35.470793,-6.035757"",""name"":""Asilah, Morocco""},{""landing_point_id"":3210,""latlon"":""43.293153,5.372636"",""name"":""Marseille, France""}]",Atlas Offshore,#ffd633,,,,"<MultiGeometry><LineString><coordinates>-6.03576133261613,35.4706178301654,0 -5.94782194178822,35.8899257267501,0 -5.03405305786066,35.9341390165503,0 -4.62565490967374,35.4126973425415,0 4.97770742783927,39.3624683938801,0 5.37253136689231,43.2936266517659,0</coordinates></LineString></MultiGeometry>","1,634 km",7-Jul,2007,Maroc Telecom,http://www.maroctelecom.ma
australia-japan-cable-ajc,1102,"[{""landing_point_id"":5887,""latlon"":""35.037493,139.816908"",""name"":""Maruyama, Japan""},{""landing_point_id"":5778,""latlon"":""-33.737377,151.245027"",""name"":""Oxford Falls, Australia""},{""landing_point_id"":5779,""latlon"":""-33.882103,151.228621"",""name"":""Paddington, Australia""},{""landing_point_id"":5883,""latlon"":""34.336810,136.874331"",""name"":""Shima, Japan""},{""landing_point_id"":3251,""latlon"":""13.549124,144.809288"",""name"":""Tanguisson Point, Guam""},{""landing_point_id"":5972,""latlon"":""13.513577,144.800499"",""name"":""Tumon Bay, Guam""}]",Australia-Japan Cable (AJC),#bd75b1,,,,"<MultiGeometry><LineString><coordinates>136.874000710018,34.3368305744122,0 138.133570130227,33.7692509780303,0 139.181030325696,34.0830830849611,0 139.644311247504,35.0597443168039,0 139.816967375192,35.0375188597286,0</coordinates></LineString><LineString><coordinates>151.228482728668,-33.8820415040515,0 151.705240203428,-33.5460661623101,0 151.245084279407,-33.7371225312317,0 151.495279414667,-33.4297620651577,0 158.154063760021,-31.4562753374439,0</coordinates></LineString><LineString><coordinates>148.372039439699,14.2283432882443,0 145.428486837439,13.7123357078019,0 144.809541963406,13.5490980087823,0 145.204854183363,13.581469784621,0 144.800362282409,13.5136833645816,0 145.459150878217,13.5080811021173,0 148.380828495973,14.1860261007565,0</coordinates></LineString><LineString><coordinates>136.874000710018,34.3368305744122,0 138.927905505012,30.4899266420425,0 148.337664464051,25.6897755483954,0</coordinates></LineString><LineString><coordinates>139.816967375192,35.0375188597286,0 144.663838941623,30.6248969875653,0 148.398211296159,25.6347607949389,0 148.398015983797,14.2030675304805,0 162.893708839912,-10.3628179302668,0 158.122423157436,-31.4834286656185,0 151.228482728668,-33.8820415040515,0</coordinates></LineString></MultiGeometry>","12,700 km",1-Dec,2001,"Softbank Telecom,  NTT,  Telstra,  Verizon,  AT&T",http://www.ajcable.com
australia-papua-new-guinea-2-apng-2,1527,"[{""landing_point_id"":8350,""latlon"":""-9.480259,147.156357"",""name"":""Ela Beach, Papua New Guinea""},{""landing_point_id"":3030,""latlon"":""-33.869896,151.206941"",""name"":""Sydney, Australia""}]",Australia-Papua New Guinea-2 (APNG-2),#91a34b,,,,"<MultiGeometry><LineString><coordinates>147.117548140893,-9.43409009596267,0 147.117548140893,-11.1536424448865,0 152.070767288236,-11.1536424448865,0 154.085121329998,-13.0879494876412,0 154.085121329998,-30.9492561754081,0 151.206998368888,-33.8695553643754,0</coordinates></LineString></MultiGeometry>","1,800 km",2006,2006,"Telikom Papua New Guinea,  Telstra",http://www.telikompng.com.pg
australia-singapore-cable-asc,1683,"[{""landing_point_id"":3012,""latlon"":""-6.171862,106.827861"",""name"":""Jakarta, Indonesia""},{""landing_point_id"":3239,""latlon"":""-31.953393,115.857251"",""name"":""Perth, Australia""},{""landing_point_id"":9135,""latlon"":""1.327255,103.946612"",""name"":""Tanah Merah, Singapore""}]",Australia-Singapore Cable (ASC),#b3b5b7,,,,"<MultiGeometry><LineString><coordinates>106.349998896007,-5.289405770242,0 106.833396991063,-6.17158651838072,0</coordinates></LineString><LineString><coordinates>115.857316379684,-31.9534389439805,0 112.770990441066,-31.3273981049556,0 103.623535983709,-7.61581399441459,0 105.846190659159,-5.78493233915624,0</coordinates></LineString><LineString><coordinates>105.846190659159,-5.78493233915624,0 106.349998896007,-5.289405770242,0</coordinates></LineString><LineString><coordinates>106.349998896007,-5.289405770242,0 106.945799255186,-4.57468437211646,0</coordinates></LineString><LineString><coordinates>106.945799255186,-4.57468437211646,0 106.945799255186,-2.18664058256263,0 104.534765806935,0.517702270029045,0</coordinates></LineString><LineString><coordinates>104.534765806935,0.517702270029045,0 104.241699608296,0.590452717976297,0</coordinates></LineString><LineString><coordinates>104.241699608296,0.590452717976297,0 103.952832625432,0.899312740641619,0</coordinates></LineString><LineString><coordinates>103.952832625432,0.899312740641619,0 103.825293653282,0.950087339676171,0 103.788574929294,1.01326161176251,0 103.946484973679,1.32725798867325,0</coordinates></LineString></MultiGeometry>","4,600 km",2017,2017,Nextgen Networks,http://www.ascinternational.net
australia-west-express-awe,1845,"[{""landing_point_id"":5706,""latlon"":""-7.333385,72.416647"",""name"":""Diego Garcia, British Indian Ocean Territory""},{""landing_point_id"":4177,""latlon"":""11.594633,43.148008"",""name"":""Djibouti City, Djibouti""},{""landing_point_id"":3239,""latlon"":""-31.953393,115.857251"",""name"":""Perth, Australia""}]",Australia West Express (AWE),#b3b5b7,,,,"<MultiGeometry><LineString><coordinates>115.857316379684,-31.9534389439805,0 111.423725770481,-32.5357325282895,0 72.4166244972277,-7.33337179375042,0 54.247106118685,11.6593390030008,0 53.3664426800552,12.3193237303642,0 52.4142949170656,12.5828966920319,0 45.2406671864308,10.7377844018157,0 43.8377384927787,10.9062187811883,0 43.4625434460704,11.5091418985246,0 43.1479928876509,11.5948693714478,0</coordinates></LineString></MultiGeometry>","10,055 km",Q1 2017,2017,GoTo Networks,http://www.australiawestexpress.net
azores-fiber-optic-system-afos,1801,"[{""landing_point_id"":14836,""latlon"":""38.658487,-27.215825"",""name"":""Angra do Heroismo, Portugal""},{""landing_point_id"":14659,""latlon"":""38.525089,-28.647563"",""name"":""Faial, Portugal""},{""landing_point_id"":14658,""latlon"":""39.011026,-27.963481"",""name"":""Graciosa, Portugal""},{""landing_point_id"":5945,""latlon"":""37.739249,-25.668756"",""name"":""Ponta Delgada, Portugal""},{""landing_point_id"":14834,""latlon"":""38.432316,-28.461235"",""name"":""Sao Mateus, Portugal""},{""landing_point_id"":14833,""latlon"":""38.683878,-28.213188"",""name"":""Velas, Portugal""},{""landing_point_id"":14835,""latlon"":""36.956730,-25.141266"",""name"":""Vila do Porto, Portugal""}]",Azores Fiber Optic System (AFOS),#548f51,,,,"<MultiGeometry><LineString><coordinates>-27.9633825176335,39.0114093086667,0 -28.1523960556096,38.8557585781068,0 -28.5846711400069,38.8557585781068,0 -28.5846711400069,38.6865801926191,0 -28.2131382000793,38.6842933115124,0 -28.5086946313293,38.6444136083862,0 -28.6475128923642,38.5254052896741,0 -28.5971223030613,38.3829322102564,0 -28.4612337274511,38.4326729683736,0 -28.3835970636996,38.2784418833092,0 -25.296929328449,36.9025094740218,0 -25.1412165481324,36.9571539967084,0 -25.0722712844739,36.8759537173109,0 -24.9186092839545,36.9568418535842,0 -25.0078670332234,37.2763495136567,0 -25.5479545412454,37.572528253248,0 -25.6687064088286,37.7396028964395,0 -25.8673879087058,37.678877929092,0 -26.6165084717717,38.0989872757104,0 -27.1007854724554,38.5335031874117,0 -27.2157756253703,38.6589040232676,0 -27.2931681486697,38.5802392646578,0 -27.7016639530374,38.7028911575167,0 -27.9633825176335,39.0114093086667,0</coordinates></LineString></MultiGeometry>","1,100 km",Jul-98,1998,Portugal Telecom,
bahamas-2,1069,"[{""landing_point_id"":5783,""latlon"":""26.539645,-78.802861"",""name"":""Eight-Mile Rock, Bahamas""},{""landing_point_id"":4230,""latlon"":""25.067088,-77.340264"",""name"":""Nassau, Bahamas""},{""landing_point_id"":3813,""latlon"":""27.638375,-80.394267"",""name"":""Vero Beach, Florida, United States""}]",Bahamas 2,#91a34b,,,,"<MultiGeometry><LineString><coordinates>-80.3942535782376,27.6387356468455,0 -78.8020183780669,26.5396256158879,0 -77.3402030073807,25.0672150660093,0</coordinates></LineString></MultiGeometry>",470 km,Jun-97,1997,"AT&T,  Telefonica,  Verizon",
bahamas-domestic-submarine-network-bdsni,1510,"[{""landing_point_id"":5784,""latlon"":""24.403318,-75.525910"",""name"":""Cat Island, Bahamas""},{""landing_point_id"":10360,""latlon"":""23.098338,-74.966193"",""name"":""Clarence Town, Bahamas""},{""landing_point_id"":10364,""latlon"":""24.052537,-74.530256"",""name"":""Cockburn Town, Bahamas""},{""landing_point_id"":5782,""latlon"":""22.629686,-74.195002"",""name"":""Crooked Island, Bahamas""},{""landing_point_id"":10361,""latlon"":""22.183300,-75.733478"",""name"":""Duncan Town, Bahamas""},{""landing_point_id"":10358,""latlon"":""24.689842,-77.844610"",""name"":""Fresh Creek, Bahamas""},{""landing_point_id"":10359,""latlon"":""23.516502,-75.788019"",""name"":""George Town, Bahamas""},{""landing_point_id"":10357,""latlon"":""25.196091,-76.240655"",""name"":""Governors Harbor, Bahamas""},{""landing_point_id"":5785,""latlon"":""26.516892,-78.736846"",""name"":""Hawksbill, Bahamas""},{""landing_point_id"":9581,""latlon"":""20.950488,-73.683088"",""name"":""Matthew Town, Bahamas""},{""landing_point_id"":10362,""latlon"":""22.401561,-73.064143"",""name"":""Mayaguana, Bahamas""},{""landing_point_id"":4230,""latlon"":""25.067088,-77.340264"",""name"":""Nassau, Bahamas""},{""landing_point_id"":10363,""latlon"":""23.652147,-74.840558"",""name"":""Port Nelson, Bahamas""},{""landing_point_id"":3878,""latlon"":""18.542677,-72.343148"",""name"":""Port-au-Prince, Haiti""},{""landing_point_id"":5788,""latlon"":""26.025193,-77.399542"",""name"":""Sandy Point, Bahamas""}]",Bahamas Domestic Submarine Network (BDSNi),#0982c5,,,,"<MultiGeometry><LineString><coordinates>-75.78014551879,23.5165519821938,0 -75.3858586887315,23.7697207362637,0 -74.8404977469453,23.6522326213361,0</coordinates></LineString><LineString><coordinates>-74.1950392198192,22.6298921117731,0 -74.3638379283656,22.4976869755953,0 -74.45016599221,22.5591159028904,0 -74.5257030480738,24.0526322725512,0</coordinates></LineString><LineString><coordinates>-77.3995291372285,26.0252967401489,0 -78.7367352211891,26.5169956644662,0</coordinates></LineString><LineString><coordinates>-77.3402030073807,25.0672150660093,0 -77.4402029365398,25.2225371659476,0 -78.521256858211,26.3160143981625,0 -78.7367352211891,26.5169956644662,0</coordinates></LineString><LineString><coordinates>-77.3402030073807,25.0672150660093,0 -77.1868828034941,25.0451870242785,0 -77.1868828034941,24.9467645269696,0 -77.8445971813131,24.6897174297759,0</coordinates></LineString><LineString><coordinates>-76.2406432394441,25.1962073311194,0 -76.2406432394441,25.2944292048899,0 -76.8311701648593,25.7120383009442,0 -77.3995291372285,25.8298821901631,0 -77.3995291372285,26.0252967401489,0</coordinates></LineString><LineString><coordinates>-76.2406432394441,25.1962073311194,0 -77.3402030073807,25.0672150660093,0</coordinates></LineString><LineString><coordinates>-75.78014551879,23.5165519821938,0 -76.00299692342,24.9235635879933,0 -76.1278991786881,25.1481274478209,0 -76.2406432394441,25.1962073311194,0</coordinates></LineString><LineString><coordinates>-75.5258976520266,24.4033285456409,0 -75.7599306893604,24.544295098747,0 -76.1326355034578,25.1962073311194,0 -76.2406432394441,25.1962073311194,0</coordinates></LineString><LineString><coordinates>-75.7333682081775,22.1832618339266,0 -75.3752629931126,23.733251737472,0 -74.8404977469453,23.6522326213361,0</coordinates></LineString></MultiGeometry>","2,817 km",2006,2006,"Bahamas Telecommunications Company,  Teleco",http://www.btcbahamas.com
bahamas-domestic-submarine-network-bdsni,1510,"[{""landing_point_id"":5784,""latlon"":""24.403318,-75.525910"",""name"":""Cat Island, Bahamas""},{""landing_point_id"":10360,""latlon"":""23.098338,-74.966193"",""name"":""Clarence Town, Bahamas""},{""landing_point_id"":10364,""latlon"":""24.052537,-74.530256"",""name"":""Cockburn Town, Bahamas""},{""landing_point_id"":5782,""latlon"":""22.629686,-74.195002"",""name"":""Crooked Island, Bahamas""},{""landing_point_id"":10361,""latlon"":""22.183300,-75.733478"",""name"":""Duncan Town, Bahamas""},{""landing_point_id"":10358,""latlon"":""24.689842,-77.844610"",""name"":""Fresh Creek, Bahamas""},{""landing_point_id"":10359,""latlon"":""23.516502,-75.788019"",""name"":""George Town, Bahamas""},{""landing_point_id"":10357,""latlon"":""25.196091,-76.240655"",""name"":""Governors Harbor, Bahamas""},{""landing_point_id"":5785,""latlon"":""26.516892,-78.736846"",""name"":""Hawksbill, Bahamas""},{""landing_point_id"":9581,""latlon"":""20.950488,-73.683088"",""name"":""Matthew Town, Bahamas""},{""landing_point_id"":10362,""latlon"":""22.401561,-73.064143"",""name"":""Mayaguana, Bahamas""},{""landing_point_id"":4230,""latlon"":""25.067088,-77.340264"",""name"":""Nassau, Bahamas""},{""landing_point_id"":10363,""latlon"":""23.652147,-74.840558"",""name"":""Port Nelson, Bahamas""},{""landing_point_id"":3878,""latlon"":""18.542677,-72.343148"",""name"":""Port-au-Prince, Haiti""},{""landing_point_id"":5788,""latlon"":""26.025193,-77.399542"",""name"":""Sandy Point, Bahamas""}]",Bahamas Domestic Submarine Network (BDSNi),#0982c5,,,,"<MultiGeometry><LineString><coordinates>-73.6829790356924,20.9505134732414,0 -75.7333682081775,22.1832618339266,0</coordinates></LineString><LineString><coordinates>-74.9661812516599,23.0983430344109,0 -74.8404977469453,23.6522326213361,0</coordinates></LineString><LineString><coordinates>-74.5257030480738,24.0526322725512,0 -74.9661812516599,23.0983430344109,0</coordinates></LineString><LineString><coordinates>-74.5257030480738,24.0526322725512,0 -75.5258976520266,24.4033285456409,0</coordinates></LineString><LineString><coordinates>-73.0641318178396,22.4017455964336,0 -73.6787798199172,22.76584232913,0 -73.9654007106223,22.7363033325657,0 -74.0620803296335,22.644944265218,0 -74.1950392198192,22.6298921117731,0</coordinates></LineString><LineString><coordinates>-73.6829790356924,20.9505134732414,0 -73.0641318178396,22.4017455964336,0</coordinates></LineString><LineString><coordinates>-73.6829790356924,20.9505134732414,0 -73.6829790356924,18.9075528877909,0 -72.8343468243715,18.6119323250457,0 -72.5102747883221,18.6119323250457,0 -72.3431362348496,18.5428768111737,0</coordinates></LineString></MultiGeometry>","2,817 km",2006,2006,"Bahamas Telecommunications Company,  Teleco",http://www.btcbahamas.com
bahamas-internet-cable-system-bics,1232,"[{""landing_point_id"":3563,""latlon"":""26.350290,-80.088945"",""name"":""Boca Raton, Florida, United States""},{""landing_point_id"":5786,""latlon"":""25.068455,-77.453008"",""name"":""Caves Point, Bahamas""},{""landing_point_id"":8355,""latlon"":""26.912497,-77.821954"",""name"":""Crown Haven, Bahamas""},{""landing_point_id"":5787,""latlon"":""25.407810,-76.787677"",""name"":""Current, Bahamas""},{""landing_point_id"":5785,""latlon"":""26.516892,-78.736846"",""name"":""Hawksbill, Bahamas""},{""landing_point_id"":8354,""latlon"":""26.616696,-78.245879"",""name"":""Riding Point, Bahamas""},{""landing_point_id"":5788,""latlon"":""26.025193,-77.399542"",""name"":""Sandy Point, Bahamas""},{""landing_point_id"":8357,""latlon"":""26.378024,-80.067704"",""name"":""Spanish River Park, Florida, United States""}]",Bahamas Internet Cable System (BICS),#ba5aa3,,,,"<MultiGeometry><LineString><coordinates>-78.7367352211891,26.5169956644662,0 -79.4358558196756,26.303496167806,0 -80.0889315289056,26.3505856974379,0</coordinates></LineString><LineString><coordinates>-76.7876643363042,25.4078329595328,0 -77.1836113214367,25.5400761179589,0 -77.3995291372285,26.0252967401489,0 -77.3154959936333,26.0330188278531,0 -77.2014335744362,26.1438799480431,0 -77.1936210799707,26.2714503434649,0 -77.1342461220324,26.5583203552018,0 -77.1795585899327,26.5876666917156,0 -77.2451835434433,26.5960499781456,0 -77.3061210002747,26.628180219432,0 -77.3342459803507,26.6913666072858,0 -77.5092458563791,26.8571076985144,0 -77.5889332999278,26.891864271316,0 -77.6936207257662,26.8932577957408,0 -77.821940947363,26.9125040931215,0 -77.8800463749506,26.6257358445035,0 -78.2458664283002,26.6167435868693,0 -78.3045577929727,26.6575086394671,0 -78.4951826579322,26.6365605365201,0 -78.6490399708133,26.5611155682673,0 -78.7367352211891,26.5169956644662,0 -80.0676913095774,26.3783227884186,0</coordinates></LineString><LineString><coordinates>-78.7367352211891,26.5169956644662,0 -77.7123707124835,25.7941016834589,0 -77.4529958962271,25.0684534728677,0 -76.9026056611287,25.2317247604737,0 -76.7876643363042,25.4078329595328,0</coordinates></LineString></MultiGeometry>","1,100 km",1-Jul,2001,Caribbean Crossings,http://www.caribbeancrossings.com
