id,city_id,name,marker,coordinates,cable_id
laucala-bay-fiji,16519,"Laucala Bay, Fiji",measle_white,"<Point><coordinates>178.488764,-18.148810,0</coordinates></Point>",1855
tuasivi-samoa,16520,"Tuasivi, Samoa",measle_white,"<Point><coordinates>-172.178159,-13.670589</coordinates></Point>",1855
fagalii-samoa,16521,"Fagali'i, Samoa",measle_white,"<Point><coordinates>-171.740073,-13.849203</coordinates></Point>",1855
carcavalos-portugal,5936,"Carcavalos, Portugal",measle_white,"<Point><coordinates>-9.331557,38.690128</coordinates></Point>",1443
barrow-alaska-united-states,16441,"Barrow, Alaska, United States",measle_white,"<Point><coordinates>-156.788615,71.290503</coordinates></Point>",1862
point-hope-alaska-united-states,16440,"Point Hope, Alaska, United States",measle_white,"<Point><coordinates>-166.808044,68.347731</coordinates></Point>",1862
wainwright-alaska-united-states,16439,"Wainwright, Alaska, United States",measle_white,"<Point><coordinates>-160.038321,70.636988</coordinates></Point>",1862
kotzebue-alaska-united-states,16438,"Kotzebue, Alaska, United States",measle_white,"<Point><coordinates>-162.596669,66.898318</coordinates></Point>",1862
nome-alaska-united-states,16437,"Nome, Alaska, United States",measle_white,"<Point><coordinates>-165.406384,64.501151</coordinates></Point>",1862
prudhoe-bay-alaska-united-states,13390,"Prudhoe Bay, Alaska, United States",measle_white,"<Point><coordinates>-148.338424,70.255640,0</coordinates></Point>",1862
kauditan-indonesia,16518,"Kauditan, Indonesia",measle_white,"<Point><coordinates>125.065645,1.378622</coordinates></Point>",1823
candelaria-canary-islands-spain,7775,"Candelaria, Canary Islands, Spain",measle_white,"<Point><coordinates>-16.371739,28.355563</coordinates></Point>",1701
cabo-espiritu-santo-argentina,16514,"Cabo Espiritu Santo, Argentina",measle_white,"<Point><coordinates>-68.605796,-52.658852</coordinates></Point>",1871
punta-dungeness-argentina,16513,"Punta Dungeness, Argentina",measle_white,"<Point><coordinates>-68.419761,-52.390200,0</coordinates></Point>",1871
sengigi-indonesia,16516,"Sengigi, Indonesia",measle_white,"<Point><coordinates>116.047290,-8.485436,0</coordinates></Point>",1867
seraya-indonesia,16515,"Seraya, Indonesia",measle_white,"<Point><coordinates>115.746704,-8.386217</coordinates></Point>",1867
tarahales-spain,16517,"Tarahales, Spain",measle_white,"<Point><coordinates>-15.450743,28.096383</coordinates></Point>",1866
manhattan-beach-california-united-states,4979,"Manhattan Beach, California, United States",measle_white,"<Point><coordinates>-118.410801,33.887103</coordinates></Point>",1858
mangawhai-new-zealand,16442,"Mangawhai, New Zealand",measle_white,"<Point><coordinates>174.574508,-36.126145</coordinates></Point>",1733
kapolei-hi-united-states,16358,"Kapolei, HI, United States",measle_white,"<Point><coordinates>-158.056876,21.335449</coordinates></Point>",1733
taba-egypt,10498,"Taba, Egypt",measle_white,"<Point><coordinates>34.894887,29.492574</coordinates></Point>",1806
praia-grande-brazil,16413,"Praia Grande, Brazil",measle_white,"<Point><coordinates>-46.412496,-24.008866</coordinates></Point>",1728
sines-portugal,9754,"Sines, Portugal",measle_white,"<Point><coordinates>-8.869594,37.957218</coordinates></Point>",1725
